geoid,CRS1112,CRS1213,CRS1314,CRS1415,CRS1516,CRS1617,CRS1718,CRS1819,CRS1920,CRS2021,CRS2122,MSP1112,MSP1213,MSP1314,MSP1415,MSP1516,MSP1617,MSP1718,MSP1819,MSP1920,MSP2021,MSP2122,DRR1112,DRR1213,DRR1314,DRR1415,DRR1516,DRR1617,DRR1718,DRR1819,DRR1920,DRR2021,DRR2122,MSP1112C,MSP1213C,MSP1314C,MSP1415C,MSP1516C,MSP1617C,MSP1718C,MSP1819C,MSP1920C,MSP2021C,MSP2122C,DRR1112C,DRR1213C,DRR1314C,DRR1415C,DRR1516C,DRR1617C,DRR1718C,DRR1819C,DRR1920C,DRR2021C,DRR2122C,PdMSP1121,PdMSP1822,dDRR1118,dDRR1121,dDRR1822,PdMSP1121C,dDRR1121C,dDRR1118WPPNC,dDRR1121WPPNC
421010163002,16,11,9,13,17,23,32,25,12,12,15,105450,80000,48000,40000,25000,43619,46809.5,84200,104950,102500,140000,6.155160,4.026461,1.429375,0.706784,-0.569627,0.550890,0.248568,2.596937,3.649969,2.732559,4.695971,"$100,000 - $125,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","$100,000 - $125,000","$100,000 - $125,000","$125,000 - $150,000",3.0 or Above,3.0 or Above,1.0 - 1.5,0.5 - 1.0,Below Area Average,0.5 - 1.0,0.0 - 0.5,2.5 - 3.0,3.0 or Above,2.5 - 3.0,3.0 or Above,-2.797534376481745,66.270783847981,-5.906592,-3.422601,2.099034,Declined,Less than -1.5,Not at Risk,Not at Risk
421010163003,14,16,12,22,36,39,40,35,23,23,24,10000,28750,28750,23800,17700,27900,44250,48500,45000,120000,147500,-1.621640,-0.630139,-0.679325,-1.059216,-1.509027,-1.202710,-0.853632,-0.946163,-1.427331,1.594659,2.498671,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","$100,000 - $125,000","$125,000 - $150,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,1.5 - 2.0,2.0 - 2.5,1100,204.1237113402062,0.768008,3.216299,3.444834,150% or Greater Increase,1.5 or Above,At Risk,At Risk
421010164001,15,10,8,8,14,23,22,17,20,28,16,16000,28000,8450,8950,15000,20000,33400,48000,52500,87550.5,67550.5,-1.672740,-1.350039,-1.998225,-2.089816,-2.009527,-2.080610,-2.171632,-2.033663,-2.184531,-1.857441,-2.493129,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,447.190625,40.73020833333333,-0.498892,-0.184701,-0.459466,150% or Greater Increase,-0.5 to 0.0,Not at Risk,Not at Risk
421010164002,3,4,9,11,13,17,17,16,17,16,10,NULL,NULL,17600,25000,15000,15000,20000,27500,69000,92500,82500,NULL,NULL,-1.019125,-0.603316,-1.424727,-1.662410,-1.823632,-1.623963,0.748669,1.529759,0.592871,Insufficient Data,Insufficient Data,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Insufficient Data,Insufficient Data,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,0.5 - 1.0,1.5 - 2.0,0.5 - 1.0,NULL,200,NULL,NULL,2.216834,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
421010164003,9,15,15,18,32,38,44,43,29,23,15,14500,10000,11000,10500,9800,10350,14250,21194.9,30000,25000,40000,-1.519440,-1.786739,-1.769725,-1.899316,-2.039727,-2.237110,-2.557332,-2.548663,-2.456131,-3.304541,-2.760929,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,72.41379310344827,88.72464602333578,-1.037892,-1.785101,-0.212266,50% - 100% Increase,Less than -1.5,Not at Risk,Not at Risk
421010164004,14,7,9,13,14,16,17,15,14,16,10,18117.6,21235.2,15500,15500,12800,16500,30000,40500,50000,93500,98000,-1.105540,-0.986639,-1.362425,-1.469616,-1.738227,-1.760310,-1.511532,-1.242763,-1.040531,0.543359,0.479071,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,0.5 - 1.0,0.0 - 0.5,416.07276902017924,141.97530864197532,-0.405992,1.648899,1.721834,150% or Greater Increase,1.5 or Above,Not at Risk,At Risk
421010165001,9,8,11,20,36,31,25,44,41,33,26,18800,22550,10000,10000,12400,16600,33000,50000,45000,80000,85000,-0.661340,-0.429439,-1.473325,-1.580516,-1.504927,-1.420710,-0.694232,0.242237,-0.452231,1.332959,1.324771,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,0.0 - 0.5,Below Area Average,1.0 - 1.5,1.0 - 1.5,325.531914893617,70,-0.032892,1.994299,1.082534,150% or Greater Increase,1.5 or Above,Not at Risk,At Risk
421010165002,11,16,18,26,44,46,40,49,48,44,33,10971.52,11980,14250,10907.5,8400,8900,15000,21500,25833.333333333336,42600,50000,-1.867240,-1.896439,-1.857725,-2.060016,-2.238327,-2.440610,-2.758532,-2.864163,-3.010231,-3.223841,-3.069729,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,288.2780143498804,132.5581395348837,-0.891292,-1.356601,-0.205566,150% or Greater Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010166001,13,10,11,20,36,33,39,52,40,29,26,29000,50333.5,55000,30000,14000,16000,55000,39000,40000,113000,137500,-0.977040,-0.161339,-0.029825,-1.152016,-1.911827,-2.058210,-1.047032,-1.959063,-2.202831,-0.209841,0.387171,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","$100,000 - $125,000","$125,000 - $150,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,0.0 - 0.5,289.6551724137931,252.56410256410257,-0.069992,0.767199,2.346234,150% or Greater Increase,0.5 to 1.0,Not at Risk,At Risk
421010166002,1,1,0,0,1,2,6,7,3,3,3,NULL,NULL,NULL,NULL,NULL,NULL,207500,210000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.673568,69.009437,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,"$200,000 - $250,000","$200,000 - $250,000",Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,3.0 or Above,3.0 or Above,Insufficient Data,Insufficient Data,Insufficient Data,NULL,NULL,NULL,NULL,NULL,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data
