GEOID,NAME,variable,estimate,moe,totpop,totnhisp_wh,totnhisp_bk,totnhisp_as,medhhinc,medhhinc_wh,medhhinc_bk,tenure,ten_ownocc,ten_renter,w_ten_renter,b_tenure,b_ten_ownocc,b_ten_renter,moe_totpop,moe_totnhisp_wh,moe_totnhisp_bk,moe_B03002_006,moe_medhhinc,moe_medhhinc_wh,moe_medhhinc_bk,moe_tenure,moe_ten_ownocc,moe_ten_renter,moe_w_ten_renter,moe_b_tenure,moe_b_ten_ownocc,moe_b_ten_renter,pct_black,moe_pct_black,pct_white_renter,moe_white_renter,pct_bnh_renter,pct_bnh_renter2,pct_renter,moe_bnh_renter,pct_non_white,pct_asian,DRR1516,DRR1516C,DRR2122,DRR2122C
"421010001015","Block Group 5, Census Tract 1.01, Philadelphia County, Pennsylvania",B03002_001,"875","213","875","683","0","69","109269",,,"617","289","328","295","0","0","0","213","188","11","61","40009",,,"162","145","114","108","11","11","11","0","1.26","89.94","10.35","0","0","53.16","3.35","21.94","7.89","1.224873",1.0 - 1.5,"-1.166129",Below Area Average
"421010300003","Block Group 3, Census Tract 300, Philadelphia County, Pennsylvania",B03002_001,"1241","875","1241","468","125","0",,,,"351","172","179","116","76","61","15","875","517","137","11",,,,"182","126","147","125","84","79","25","10.07","8.449999999999999","64.8","45.21","8.380000000000001","4.27","51","12.15","62.29","0","-1.158327",Below Area Average,"-0.662829",Below Area Average
"421010095001","Block Group 1, Census Tract 95, Philadelphia County, Pennsylvania",B03002_001,"534","333","534","0","534","0",,,,"220","151","69","0","220","151","69","333","11","333","11",,,,"136","133","70","11","136","133","70","100","88.19","0","15.94","100","31.36","31.36","143.47","100","0","-1.152627",Below Area Average,"-0.136129",Below Area Average
"421010252002","Block Group 2, Census Tract 252, Philadelphia County, Pennsylvania",B03002_001,"619","292","619","74","545","0","32833",,,"212","65","147","0","196","49","147","292","105","273","11","21760",,,"107","60","102","11","104","54","102","88.05","14.84","0","7.48","100","69.34","69.34","98.13","88.05","0","13.678273",3.0 or Above,"50.186371",3.0 or Above
"421010362013","Block Group 3, Census Tract 362.01, Philadelphia County, Pennsylvania",B03002_001,"1405","491","1405","1242","0","0","97650",,,"504","353","151","107","0","0","0","491","423","11","11","24809",,,"135","120","92","70","11","11","11","0","0.78","70.86","16.88","0","0","29.96","7.28","11.6","0","0.834873",0.5 - 1.0,"-0.009029",Below Area Average
"421010320007","Block Group 7, Census Tract 320, Philadelphia County, Pennsylvania",B03002_001,"948","459","948","516","22","0","45179",,,"321","121","200","94","22","0","22","459","333","36","11","29971",,,"136","82","131","97","36","11","36","2.32","3.63","47","37.48","11","6.85","62.31","16.5","45.57","0","-0.791527",Below Area Average,"-1.255829",Below Area Average
"421010004013","Block Group 3, Census Tract 4.01, Philadelphia County, Pennsylvania",B03002_001,"1178","424","1178","598","274","234","57566",,,"878","249","629","219","264","33","231","424","303","267","129","35655",,,"307","161","287","93","266","51","260","23.26","21.06","34.82","21.7","36.72","26.31","71.64","37.79","49.24","19.86","15.273073",3.0 or Above,"9.103071",3.0 or Above
"421010192005","Block Group 5, Census Tract 192, Philadelphia County, Pennsylvania",B03002_001,"1885","863","1885","184","578","49",,,,"746","273","473","53","133","29","104","863","161","626","81",,,,"349","156","331","70","134","47","126","30.66","30.1","11.21","12.55","21.99","13.94","63.4","21.75","90.23999999999999","2.6","-1.428627",Below Area Average,"-1.670329",Below Area Average
"421019891004","Block Group 4, Census Tract 9891, Philadelphia County, Pennsylvania",B03002_001,"0","11","0","0","0","0",,,,"0","0","0","0","0","0","0","11","11","11","11",,,,"11","11","11","11","11","11","11",,,,,,,,,,,NULL,Insufficient Data,NULL,Insufficient Data
"421010353022","Block Group 2, Census Tract 353.02, Philadelphia County, Pennsylvania",B03002_001,"3087","1007","3087","1903","307","148","67467",,,"985","666","319","203","141","25","116","1007","440","230","148","15310",,,"123","118","126","94","99","27","96","9.94","6.71","63.64","15.38","36.36","11.78","32.39","26.45","38.35","4.79","0.146273",0.0 - 0.5,"-0.684829",Below Area Average
